,cpu_available,cpu_requested,cpu_usage,mem_available,mem_requested,mem_usage,time
113,6613.75,7042.9629223,2673.05016704,5870.98893,6036.07944822,2983.48451835,152024637489
114,6612.75,7620.3506147,2703.05502905,5870.24013,6655.80121822,3091.3725775,154228363521
115,6612.25,7547.9217197,2730.69857377,5869.99083,6588.32241682,3102.70183505,154426074507
116,6608.75,7162.0660357,2839.81864616,5866.99443,6247.21938462,2840.54501296,155524060890
117,6612.25,7055.5981607,2751.9644296,5869.99253,6118.12696216,2920.19589338,156926274548
118,6610.75,7122.4069005,2806.03136852,5868.24453,6155.18346576,2989.16102509,157546093722
119,6610.75,6992.3924696,2744.20368754,5868.49473,6125.39950212,2980.404634,158407008545
120,6612.25,7048.5710893,2613.98998771,5869.99253,6114.94735372,2960.15156892,158733479426
121,6609.75,7018.1590951,2672.58958868,5867.49573,6044.75373212,2991.57385627,159808412977
122,6609.75,7040.2942188,2593.9131674,5867.74523,6213.13833012,3068.60083075,161993925785
123,6610.25,7204.1580198,2535.69008393,5867.99453,6264.33808472,3064.24755173,162360832349
124,6609.25,7218.1022231,2530.63901981,5866.99553,6299.34317072,3041.60059269,162851039995
125,6610.25,7149.1043344,2601.66590532,5867.99453,6202.35153022,3054.03359378,164248800400
126,6610.25,7085.0870824,2508.37027967,5867.99453,6161.74423882,3026.77960517,164621501529
127,6610.75,7071.6028541,2506.12015758,5868.24383,6157.06097582,3023.27401481,164691105049
128,6608.75,6873.8151044,2502.84981735,5866.24583,6065.70998082,3009.63202723,164994830462
129,6608.75,6749.2052968,2533.80808548,5866.24583,5995.62932053,3005.93597313,165913224797
130,6611.0,6867.8859339,2671.62021467,5868.24333,6131.01051482,3041.95231959,167958800868
131,6611.0,7007.4694479,2752.600801,5868.24333,6172.62345902,3023.51250291,168235429462
132,6610.5,6736.2687299,2464.59381157,5867.74383,5973.10329002,2891.50500599,169156374242
133,6611.5,6733.7941386,2478.86796207,5868.74283,5966.82716502,2908.6060447,169406866765
134,6611.0,7209.3341464,2714.99366092,5868.24233,6381.99282342,2973.65000956,170265385213
135,6610.5,7323.6818128,2756.53031345,5867.99303,6527.25561802,2842.07308931,172104598490
136,6611.5,7156.9333218,2836.9316038,5868.99303,6402.55164142,3077.85720691,172671887120
137,6611.5,7316.0138712,3334.18997332,5868.74083,6480.66843432,3112.0658641,176316185127
138,6613.5,7460.8865179,2659.14185506,5870.73983,6351.47007626,2954.234376,177860086270
139,6613.0,7512.9140357,2537.69630358,5870.24033,6576.04896242,2945.35967088,178930755671
140,6614.0,7511.5474257,2574.49825933,5871.23933,6564.72868602,2949.0967357,179047182331
141,6614.5,7505.8256777,2563.13785297,5871.48863,6558.72479062,2943.75213893,179081720584
142,6612.0,7517.5670437,2545.79511696,5869.24133,6515.89893042,2992.84028476,179835851007
143,6614.5,7354.6065167,2712.00126289,5871.61353,6421.52046202,3096.62047328,181090997983
144,6617.5,7463.7607629,2296.91878696,5873.98523,6596.61623462,2996.72703866,184333408406
145,6617.0,7416.1458422,2459.25714938,5873.48573,6628.37281062,3016.47146139,184717461467
146,6616.75,6898.8954494,2171.08501483,5873.98663,6186.78822962,2995.73042202,188484085921
147,6615.75,6902.2012512,2109.25621064,5872.73743,6135.29319842,2888.31335382,189694753689
148,6611.25,6728.8386647,2338.32069828,5868.74333,5174.45509258,2731.27133327,193166586372
149,6617.75,6783.2498814,2087.33863532,5874.73643,5813.29818038,2705.18655966,194737459316
150,6617.75,6816.2355644,2067.21056958,5874.73643,5859.38670584,2706.06607342,194822726660
151,6618.75,6669.8877547,2059.28742681,5875.73543,5691.88314698,2580.53007945,195880267695
152,6615.75,6854.9757578,2051.54590674,5873.48903,5094.96085298,2674.21540624,198607437867
153,6617.75,7145.4365817,2609.89456464,5875.23783,5856.50005698,2761.19509184,202624048449
154,6618.75,7107.184118,2245.76064221,5875.73643,5759.38511898,2616.84935137,203398941957
155,6619.25,7081.6561163,2318.67838096,5876.23593,5745.08369478,2675.37704832,203667827917
156,6617.75,7127.3473347,2580.09858081,5874.98663,5810.92274458,2768.08870024,205169837705
157,6620.75,7232.2411557,2789.48362854,5877.98393,5693.47421661,2828.5768458,208347389193
158,6620.75,7360.5726037,2664.25489662,5877.98393,5869.77617562,2835.06015524,208638191090
159,6619.75,7481.9750607,2719.63250879,5877.23513,6052.38855642,2834.7571277,209423128329
160,6619.75,7524.4262247,2649.59849664,5877.23513,6118.17271762,2847.8826249,210197475459
161,6618.5,7401.9823064,2792.16443929,5875.73683,6068.56750192,2874.96628995,210694610855
162,6619.0,7401.0818092,2786.45154498,5876.23633,6103.47255092,2874.33848257,211716441163
163,6616.5,7398.3203857,2775.74921449,5873.23913,5991.09252182,2927.85557995,214722119660
164,6617.0,7361.1119913,2775.39329394,5873.73863,6023.32623142,2921.01301978,216289841258
165,6616.5,7386.418368,2775.35822237,5873.48933,5995.30475642,2924.75299593,216570667552
166,6616.5,7310.4543266,2589.532725,5873.48933,5914.49728982,2878.17576721,217483414259
167,6617.0,7462.8558256,2932.90405231,5873.98883,6060.31501442,2868.2182353,218054596503
168,6617.5,7360.8042203,2767.17705623,5873.98793,6153.83443573,2797.32208888,220934053141
169,6616.5,7359.8409413,2765.3762391,5873.23913,6153.39784933,2802.74050316,220968261242
170,6616.0,7708.6708073,2698.35407246,5872.73963,6294.91563322,2866.3705398,221416435865
171,6615.5,7695.5052056,2742.73761862,5871.99063,6285.86295882,2915.40176237,221718963658
172,6616.0,7702.7613073,2738.89252228,5872.23993,6290.66416182,2914.99968078,221956935151
173,6617.0,7479.9795394,2765.18505897,5873.48843,6220.31600262,2887.87955588,222248024467
174,6617.0,7373.5004804,2756.22373374,5873.48843,6130.36237062,2918.79485687,222465822982
175,6617.0,7239.6110018,2753.10402517,5873.98813,6045.04376602,2948.12068186,223816752301
176,6616.5,7391.2350683,2944.21642061,5873.73883,6127.50683232,3023.62861156,225697324151
177,6617.0,7393.6060173,2952.69627644,5873.98713,6130.81896012,3023.92136654,225787019697
178,6616.0,7249.0416306,2957.56710687,5873.48883,6066.37512362,3044.8745376,228234303834
179,6616.0,7244.9245976,2795.66503504,5873.48883,6020.83722262,3019.8427373,228890906224
180,6617.5,7135.9944846,2941.07662068,5874.23673,5885.34742562,2970.18459826,231008773653
181,6618.0,7089.7027236,2927.97878084,5874.73623,5859.06123302,2958.88724821,231343249431
182,6617.75,7095.1940546,2941.29250529,5874.48643,5867.12763602,2960.03444468,231435603879
183,6617.75,7100.2566521,2917.39206202,5874.48643,5868.18157562,2964.09714238,233250665976
184,6617.75,7110.1955631,2989.82472745,5874.48643,5876.47404662,2964.89236441,233517364692
185,6620.25,7156.2201494,2973.88565496,5876.48353,5884.77612802,2959.6226075,234625164255
186,6619.25,7145.8080833,2940.96923655,5875.73473,5856.72653262,2954.83034876,235187183999
187,6618.75,7145.7127976,2916.44266517,5875.23523,5859.85096402,2976.08825773,235601931778
188,6619.75,7166.2710136,3013.56002109,5876.23423,5869.86142802,2957.30194546,236639786014
189,6619.75,7086.743346,2914.75550953,5876.23423,5869.24297362,2943.76573802,237612121688
190,6619.75,7202.6115126,2860.74197022,5876.23423,5985.55581902,2951.19300033,238329538255
191,6620.25,7196.2019026,2856.55868477,5876.73373,5924.89634402,2938.34721274,238744597193
192,6618.75,7261.9063026,2724.70470559,5875.23523,5969.545836,2929.16913344,239418454447
193,6617.25,7683.5225069,2356.56002488,5873.98593,6752.70808302,2797.4425789,243466748270
194,6617.25,7557.1945917,2641.74567955,5874.23713,6723.58793592,3025.0279831,245641398099
195,6616.75,7443.8084609,0.0,5873.73763,6314.61068552,0.0,247002957154
196,6616.25,7505.38016,0.0,5873.48833,5951.13850032,0.0,247790430864
197,6616.75,7496.4953477,0.0,5873.73763,5933.90037272,0.0,247831742086
198,6616.25,7444.8484666,0.0,5873.23813,5814.87251892,0.0,248061557628
199,6616.25,7455.2438126,0.0,5873.23813,5802.51900892,0.0,248122586091
